Distance_(inches),Gray_Value
0.0000000,13.500
0.0016667,13.000
0.0033333,12.500
0.0050000,13.500
0.0066667,14.000
0.0083333,15.000
0.0100000,14.500
0.0116667,18.500
0.0133333,21.000
0.0150000,23.500
0.0166667,35.000
0.0183333,56.500
0.0200000,91.000
0.0216667,137.000
0.0233333,199.500
0.0250000,244.500
0.0266667,255.000
0.0283333,255.000
0.0300000,255.000
0.0316667,255.000
0.0333333,255.000
0.0350000,232.000
0.0366667,187.000
0.0383333,132.000
0.0400000,90.500
0.0416667,56.500
0.0433333,39.500
0.0450000,25.500
0.0466667,18.500
0.0483333,11.500
0.0500000,11.000
0.0516667,10.500
0.0533333,9.000
0.0550000,8.500
0.0566667,8.000
