Distance_(inches),Gray_Value
0.0000000,2.0000
0.0016667,2.0000
0.0033333,2.5000
0.0050000,2.5000
0.0066667,4.5000
0.0083333,10.5000
0.0100000,11.5000
0.0116667,15.5000
0.0133333,20.0000
0.0150000,33.0000
0.0166667,53.0000
0.0183333,80.5000
0.0200000,133.0000
0.0216667,204.0000
0.0233333,253.0000
0.0250000,255.0000
0.0266667,255.0000
0.0283333,255.0000
0.0300000,255.0000
0.0316667,255.0000
0.0333333,255.0000
0.0350000,247.0000
0.0366667,192.0000
0.0383333,111.0000
0.0400000,69.0000
0.0416667,49.5000
0.0433333,40.0000
0.0450000,38.0000
0.0466667,38.0000
0.0483333,41.0000
0.0500000,43.5000
0.0516667,40.0000
0.0533333,35.5000
0.0550000,28.0000
0.0566667,25.0000
