Distance_(inches),Gray_Value
0.0000000,0.000
0.0016667,0.000
0.0033333,0.000
0.0050000,0.000
0.0066667,0.000
0.0083333,0.000
0.0100000,0.000
0.0116667,0.000
0.0133333,1.500
0.0150000,10.000
0.0166667,21.000
0.0183333,36.500
0.0200000,56.500
0.0216667,80.000
0.0233333,112.500
0.0250000,149.000
0.0266667,180.500
0.0283333,206.500
0.0300000,209.500
0.0316667,192.000
0.0333333,153.500
0.0350000,107.500
0.0366667,69.000
0.0383333,38.000
0.0400000,21.500
0.0416667,13.000
0.0433333,7.500
0.0450000,5.500
0.0466667,4.000
0.0483333,2.500
0.0500000,1.000
0.0516667,1.000
0.0533333,0.500
0.0550000,0.000
0.0566667,1.000
