Distance_(inches),Gray_Value
0.0000000,12.250
0.0016667,12.250
0.0033333,14.250
0.0050000,14.250
0.0066667,14.500
0.0083333,15.500
0.0100000,15.500
0.0116667,19.250
0.0133333,22.250
0.0150000,27.250
0.0166667,36.250
0.0183333,48.500
0.0200000,63.500
0.0216667,88.250
0.0233333,118.250
0.0250000,152.250
0.0266667,180.750
0.0283333,197.000
0.0300000,191.000
0.0316667,168.250
0.0333333,134.250
0.0350000,101.000
0.0366667,73.000
0.0383333,50.750
0.0400000,36.750
0.0416667,29.750
0.0433333,28.000
0.0450000,28.250
0.0466667,33.500
0.0483333,34.500
0.0500000,39.500
0.0516667,39.000
0.0533333,39.500
0.0550000,40.250
0.0566667,42.000
