Distance_(inches),Gray_Value
0.0000000,7.750
0.0016667,9.750
0.0033333,9.000
0.0050000,9.125
0.0066667,9.750
0.0083333,10.500
0.0100000,10.938
0.0116667,13.250
0.0133333,17.688
0.0150000,23.750
0.0166667,31.938
0.0183333,46.500
0.0200000,71.750
0.0216667,105.938
0.0233333,148.750
0.0250000,195.812
0.0266667,233.812
0.0283333,255.000
0.0300000,250.438
0.0316667,224.875
0.0333333,176.750
0.0350000,128.812
0.0366667,89.312
0.0383333,59.812
0.0400000,42.438
0.0416667,33.250
0.0433333,27.750
0.0450000,23.562
0.0466667,19.750
0.0483333,18.625
0.0500000,16.938
0.0516667,14.688
0.0533333,12.500
0.0550000,10.750
0.0566667,9.750
