 ,X,Y,Value
1,577,553,0
2,578,553,0
3,579,553,0
4,580,553,0
5,581,553,0
6,582,553,0
7,583,553,0
8,584,553,0
9,585,553,0
10,586,553,0
11,587,553,0
12,588,553,0
13,589,553,0
14,590,553,0
15,591,553,0
16,592,553,0
17,593,553,0
18,594,553,0
19,595,553,0
20,596,553,0
21,597,553,0
22,598,553,0
23,599,553,0
24,600,553,0
25,601,553,0
26,602,553,0
27,603,553,0
28,604,553,0
29,605,553,0
30,606,553,0
31,607,553,0
32,608,553,0
33,609,553,0
34,610,553,0
35,611,553,0
36,612,553,0
37,613,553,0
38,614,553,0
39,615,553,0
40,616,553,0
41,617,553,0
42,618,553,0
43,619,553,0
44,620,553,0
45,621,553,0
46,622,553,0
47,623,553,0
48,624,553,0
49,625,553,0
50,626,553,0
51,627,553,0
52,628,553,0
53,629,553,0
54,630,553,0
55,631,553,0
56,632,553,0
57,633,553,0
58,634,553,1
59,635,553,1
60,636,553,2
61,637,553,3
62,638,553,3
63,639,553,3
64,640,553,3
65,641,553,3
66,642,553,3
67,643,553,3
68,644,553,2
69,645,553,2
70,646,553,1
71,647,553,2
72,648,553,2
73,649,553,2
74,650,553,1
75,651,553,0
76,652,553,0
77,653,553,0
78,654,553,0
79,655,553,0
80,656,553,0
81,657,553,0
82,658,553,0
83,659,553,0
84,660,553,0
85,661,553,0
86,662,553,1
87,663,553,3
88,664,553,4
89,665,553,5
90,666,553,5
91,667,553,5
92,668,553,4
93,669,553,4
94,670,553,4
95,671,553,4
96,672,553,5
97,673,553,5
98,674,553,5
99,675,553,5
100,676,553,5
101,677,553,5
102,678,553,5
103,679,553,6
104,680,553,7
105,681,553,7
106,682,553,8
107,683,553,8
108,684,553,7
109,685,553,7
110,686,553,6
111,687,553,4
112,688,553,3
113,689,553,2
114,690,553,1
115,691,553,0
116,692,553,0
117,693,553,0
118,577,554,0
119,578,554,0
120,579,554,0
121,580,554,0
122,581,554,0
123,582,554,0
124,583,554,0
125,584,554,0
126,585,554,0
127,586,554,0
128,587,554,0
129,588,554,0
130,589,554,0
131,590,554,0
132,591,554,0
133,592,554,0
134,593,554,0
135,594,554,0
136,595,554,0
137,596,554,0
138,597,554,0
139,598,554,0
140,599,554,0
141,600,554,0
142,601,554,0
143,602,554,0
144,603,554,0
145,604,554,0
146,605,554,0
147,606,554,0
148,607,554,0
149,608,554,0
150,609,554,0
151,610,554,0
152,611,554,0
153,612,554,0
154,613,554,0
155,614,554,0
156,615,554,0
157,616,554,0
158,617,554,0
159,618,554,0
160,619,554,0
161,620,554,0
162,621,554,0
163,622,554,0
164,623,554,0
165,624,554,0
166,625,554,0
167,626,554,0
168,627,554,0
169,628,554,0
170,629,554,0
171,630,554,0
172,631,554,0
173,632,554,0
174,633,554,0
175,634,554,0
176,635,554,1
177,636,554,2
178,637,554,3
179,638,554,3
180,639,554,3
181,640,554,3
182,641,554,3
183,642,554,3
184,643,554,3
185,644,554,2
186,645,554,1
187,646,554,1
188,647,554,1
189,648,554,1
190,649,554,2
191,650,554,1
192,651,554,0
193,652,554,0
194,653,554,0
195,654,554,0
196,655,554,0
197,656,554,0
198,657,554,0
199,658,554,0
200,659,554,0
201,660,554,0
202,661,554,0
203,662,554,2
204,663,554,4
205,664,554,5
206,665,554,7
207,666,554,6
208,667,554,6
209,668,554,5
210,669,554,5
211,670,554,5
212,671,554,5
213,672,554,6
214,673,554,5
215,674,554,5
216,675,554,5
217,676,554,5
218,677,554,4
219,678,554,4
220,679,554,6
221,680,554,10
222,681,554,18
223,682,554,25
224,683,554,28
225,684,554,26
226,685,554,16
227,686,554,8
228,687,554,4
229,688,554,1
230,689,554,1
231,690,554,0
232,691,554,0
233,692,554,0
234,693,554,0
235,577,555,0
236,578,555,0
237,579,555,0
238,580,555,0
239,581,555,0
240,582,555,0
241,583,555,0
242,584,555,0
243,585,555,0
244,586,555,0
245,587,555,0
246,588,555,0
247,589,555,0
248,590,555,0
249,591,555,0
250,592,555,0
251,593,555,0
252,594,555,0
253,595,555,0
254,596,555,0
255,597,555,0
256,598,555,0
257,599,555,0
258,600,555,0
259,601,555,0
260,602,555,0
261,603,555,0
262,604,555,0
263,605,555,0
264,606,555,0
265,607,555,0
266,608,555,0
267,609,555,0
268,610,555,0
269,611,555,0
270,612,555,0
271,613,555,0
272,614,555,0
273,615,555,0
274,616,555,0
275,617,555,0
276,618,555,0
277,619,555,0
278,620,555,0
279,621,555,0
280,622,555,0
281,623,555,0
282,624,555,0
283,625,555,0
284,626,555,0
285,627,555,0
286,628,555,0
287,629,555,0
288,630,555,0
289,631,555,0
290,632,555,0
291,633,555,0
292,634,555,0
293,635,555,0
294,636,555,1
295,637,555,2
296,638,555,2
297,639,555,2
298,640,555,3
299,641,555,3
300,642,555,3
301,643,555,3
302,644,555,2
303,645,555,1
304,646,555,1
305,647,555,1
306,648,555,0
307,649,555,1
308,650,555,1
309,651,555,0
310,652,555,0
311,653,555,0
312,654,555,0
313,655,555,0
314,656,555,0
315,657,555,0
316,658,555,0
317,659,555,0
318,660,555,0
319,661,555,0
320,662,555,2
321,663,555,4
322,664,555,6
323,665,555,8
324,666,555,8
325,667,555,7
326,668,555,7
327,669,555,7
328,670,555,7
329,671,555,7
330,672,555,7
331,673,555,6
332,674,555,5
333,675,555,5
334,676,555,5
335,677,555,3
336,678,555,2
337,679,555,7
338,680,555,14
339,681,555,34
340,682,555,49
341,683,555,57
342,684,555,51
343,685,555,27
344,686,555,12
345,687,555,3
346,688,555,0
347,689,555,0
348,690,555,0
349,691,555,0
350,692,555,0
351,693,555,0
352,577,556,0
353,578,556,0
354,579,556,0
355,580,556,0
356,581,556,0
357,582,556,0
358,583,556,0
359,584,556,0
360,585,556,0
361,586,556,0
362,587,556,0
363,588,556,0
364,589,556,0
365,590,556,0
366,591,556,0
367,592,556,0
368,593,556,0
369,594,556,0
370,595,556,0
371,596,556,0
372,597,556,0
373,598,556,0
374,599,556,0
375,600,556,0
376,601,556,0
377,602,556,0
378,603,556,0
379,604,556,0
380,605,556,0
381,606,556,0
382,607,556,0
383,608,556,0
384,609,556,0
385,610,556,0
386,611,556,0
387,612,556,0
388,613,556,0
389,614,556,0
390,615,556,0
391,616,556,0
392,617,556,0
393,618,556,0
394,619,556,0
395,620,556,0
396,621,556,0
397,622,556,0
398,623,556,0
399,624,556,0
400,625,556,0
401,626,556,0
402,627,556,0
403,628,556,0
404,629,556,0
405,630,556,0
406,631,556,0
407,632,556,0
408,633,556,0
409,634,556,0
410,635,556,0
411,636,556,0
412,637,556,1
413,638,556,1
414,639,556,1
415,640,556,2
416,641,556,2
417,642,556,2
418,643,556,2
419,644,556,2
420,645,556,2
421,646,556,1
422,647,556,1
423,648,556,1
424,649,556,2
425,650,556,2
426,651,556,1
427,652,556,0
428,653,556,0
429,654,556,0
430,655,556,0
431,656,556,0
432,657,556,0
433,658,556,0
434,659,556,0
435,660,556,1
436,661,556,1
437,662,556,3
438,663,556,4
439,664,556,4
440,665,556,5
441,666,556,5
442,667,556,5
443,668,556,5
444,669,556,6
445,670,556,6
446,671,556,6
447,672,556,7
448,673,556,6
449,674,556,6
450,675,556,5
451,676,556,5
452,677,556,4
453,678,556,3
454,679,556,6
455,680,556,11
456,681,556,23
457,682,556,32
458,683,556,37
459,684,556,33
460,685,556,18
461,686,556,8
462,687,556,2
463,688,556,0
464,689,556,0
465,690,556,0
466,691,556,0
467,692,556,0
468,693,556,0
469,577,557,0
470,578,557,0
471,579,557,0
472,580,557,0
473,581,557,0
474,582,557,0
475,583,557,0
476,584,557,0
477,585,557,0
478,586,557,0
479,587,557,0
480,588,557,0
481,589,557,0
482,590,557,0
483,591,557,0
484,592,557,0
485,593,557,0
486,594,557,0
487,595,557,0
488,596,557,0
489,597,557,0
490,598,557,0
491,599,557,0
492,600,557,0
493,601,557,0
494,602,557,0
495,603,557,0
496,604,557,0
497,605,557,0
498,606,557,0
499,607,557,0
500,608,557,0
501,609,557,0
502,610,557,0
503,611,557,0
504,612,557,0
505,613,557,0
506,614,557,0
507,615,557,0
508,616,557,0
509,617,557,0
510,618,557,0
511,619,557,0
512,620,557,0
513,621,557,0
514,622,557,0
515,623,557,0
516,624,557,0
517,625,557,0
518,626,557,0
519,627,557,0
520,628,557,0
521,629,557,0
522,630,557,0
523,631,557,0
524,632,557,0
525,633,557,0
526,634,557,0
527,635,557,0
528,636,557,0
529,637,557,0
530,638,557,0
531,639,557,0
532,640,557,0
533,641,557,0
534,642,557,0
535,643,557,1
536,644,557,2
537,645,557,2
538,646,557,2
539,647,557,2
540,648,557,2
541,649,557,3
542,650,557,3
543,651,557,1
544,652,557,1
545,653,557,0
546,654,557,0
547,655,557,0
548,656,557,0
549,657,557,0
550,658,557,0
551,659,557,0
552,660,557,1
553,661,557,3
554,662,557,3
555,663,557,3
556,664,557,2
557,665,557,1
558,666,557,1
559,667,557,2
560,668,557,3
561,669,557,4
562,670,557,5
563,671,557,6
564,672,557,7
