 ,X,Y,Value
1,459,554,0
2,460,554,0
3,461,554,0
4,462,554,0
5,463,554,0
6,464,554,0
7,465,554,0
8,466,554,0
9,467,554,0
10,468,554,0
11,469,554,0
12,470,554,0
13,471,554,0
14,472,554,0
15,473,554,0
16,474,554,0
17,475,554,0
18,476,554,0
19,477,554,0
20,478,554,0
21,479,554,0
22,480,554,0
23,481,554,0
24,482,554,0
25,483,554,0
26,484,554,1
27,485,554,2
28,486,554,2
29,487,554,3
30,488,554,2
31,489,554,2
32,490,554,2
33,491,554,1
34,492,554,1
35,493,554,2
36,494,554,2
37,495,554,2
38,496,554,2
39,497,554,2
40,498,554,3
41,499,554,4
42,500,554,5
43,501,554,6
44,502,554,6
45,503,554,5
46,504,554,2
47,505,554,1
48,506,554,0
49,507,554,0
50,508,554,0
51,509,554,0
52,510,554,0
53,511,554,0
54,512,554,0
55,513,554,0
56,514,554,0
57,515,554,0
58,516,554,0
59,517,554,0
60,518,554,0
61,519,554,0
62,520,554,0
63,521,554,0
64,522,554,0
65,523,554,0
66,524,554,0
67,525,554,0
68,526,554,0
69,527,554,0
70,528,554,0
71,529,554,0
72,530,554,0
73,531,554,0
74,532,554,0
75,533,554,0
76,534,554,0
77,535,554,0
78,536,554,0
79,537,554,0
80,538,554,0
81,539,554,0
82,540,554,0
83,541,554,0
84,542,554,0
85,543,554,0
86,544,554,0
87,545,554,0
88,546,554,0
89,547,554,0
90,548,554,0
91,549,554,0
92,550,554,0
93,551,554,0
94,552,554,1
95,553,554,1
96,554,554,1
97,555,554,1
98,556,554,1
99,557,554,0
100,558,554,0
101,559,554,0
102,560,554,0
103,561,554,0
104,562,554,0
105,563,554,0
106,564,554,0
107,565,554,0
108,566,554,0
109,567,554,0
110,568,554,0
111,569,554,0
112,570,554,0
113,571,554,0
114,572,554,0
115,573,554,0
116,574,554,0
117,575,554,0
118,459,555,0
119,460,555,0
120,461,555,0
121,462,555,0
122,463,555,0
123,464,555,0
124,465,555,0
125,466,555,0
126,467,555,0
127,468,555,0
128,469,555,0
129,470,555,0
130,471,555,0
131,472,555,0
132,473,555,0
133,474,555,0
134,475,555,0
135,476,555,0
136,477,555,0
137,478,555,0
138,479,555,0
139,480,555,0
140,481,555,0
141,482,555,0
142,483,555,0
143,484,555,1
144,485,555,2
145,486,555,3
146,487,555,3
147,488,555,3
148,489,555,2
149,490,555,2
150,491,555,1
151,492,555,2
152,493,555,3
153,494,555,3
154,495,555,3
155,496,555,2
156,497,555,1
157,498,555,2
158,499,555,5
159,500,555,10
160,501,555,13
161,502,555,13
162,503,555,10
163,504,555,4
164,505,555,2
165,506,555,0
166,507,555,0
167,508,555,0
168,509,555,0
169,510,555,0
170,511,555,0
171,512,555,0
172,513,555,0
173,514,555,0
174,515,555,0
175,516,555,0
176,517,555,0
177,518,555,0
178,519,555,0
179,520,555,0
180,521,555,1
181,522,555,1
182,523,555,0
183,524,555,0
184,525,555,0
185,526,555,0
186,527,555,0
187,528,555,0
188,529,555,0
189,530,555,0
190,531,555,0
191,532,555,0
192,533,555,0
193,534,555,0
194,535,555,0
195,536,555,0
196,537,555,0
197,538,555,0
198,539,555,0
199,540,555,0
200,541,555,0
201,542,555,0
202,543,555,0
203,544,555,0
204,545,555,0
205,546,555,0
206,547,555,0
207,548,555,0
208,549,555,0
209,550,555,0
210,551,555,1
211,552,555,1
212,553,555,1
213,554,555,1
214,555,555,0
215,556,555,0
216,557,555,0
217,558,555,0
218,559,555,0
219,560,555,0
220,561,555,0
221,562,555,0
222,563,555,0
223,564,555,0
224,565,555,0
225,566,555,0
226,567,555,0
227,568,555,0
228,569,555,0
229,570,555,0
230,571,555,0
231,572,555,0
232,573,555,0
233,574,555,0
234,575,555,0
235,459,556,0
236,460,556,0
237,461,556,0
238,462,556,0
239,463,556,0
240,464,556,0
241,465,556,0
242,466,556,0
243,467,556,0
244,468,556,0
245,469,556,0
246,470,556,0
247,471,556,0
248,472,556,0
249,473,556,0
250,474,556,0
251,475,556,0
252,476,556,0
253,477,556,0
254,478,556,0
255,479,556,0
256,480,556,0
257,481,556,0
258,482,556,0
259,483,556,0
260,484,556,0
261,485,556,1
262,486,556,2
263,487,556,3
264,488,556,3
265,489,556,3
266,490,556,2
267,491,556,1
268,492,556,2
269,493,556,3
270,494,556,3
271,495,556,3
272,496,556,3
273,497,556,2
274,498,556,3
275,499,556,5
276,500,556,8
277,501,556,9
278,502,556,9
279,503,556,6
280,504,556,3
281,505,556,1
282,506,556,0
283,507,556,0
284,508,556,0
285,509,556,0
286,510,556,0
287,511,556,0
288,512,556,0
289,513,556,0
290,514,556,0
291,515,556,0
292,516,556,0
293,517,556,1
294,518,556,1
295,519,556,2
296,520,556,2
297,521,556,2
298,522,556,2
299,523,556,3
300,524,556,3
301,525,556,3
302,526,556,2
303,527,556,2
304,528,556,1
305,529,556,0
306,530,556,0
307,531,556,0
308,532,556,0
309,533,556,0
310,534,556,0
311,535,556,0
312,536,556,0
313,537,556,0
314,538,556,0
315,539,556,0
316,540,556,0
317,541,556,0
318,542,556,0
319,543,556,0
320,544,556,0
321,545,556,0
322,546,556,0
323,547,556,0
324,548,556,0
325,549,556,0
326,550,556,0
327,551,556,0
328,552,556,1
329,553,556,1
330,554,556,0
331,555,556,0
332,556,556,0
333,557,556,0
334,558,556,0
335,559,556,0
336,560,556,0
337,561,556,0
338,562,556,0
339,563,556,0
340,564,556,0
341,565,556,0
342,566,556,0
343,567,556,0
344,568,556,0
345,569,556,0
346,570,556,0
347,571,556,0
348,572,556,0
349,573,556,0
350,574,556,0
351,575,556,0
352,459,557,0
353,460,557,0
354,461,557,0
355,462,557,0
356,463,557,0
357,464,557,0
358,465,557,0
359,466,557,0
360,467,557,0
361,468,557,0
362,469,557,0
363,470,557,0
364,471,557,0
365,472,557,0
366,473,557,0
367,474,557,0
368,475,557,0
369,476,557,0
370,477,557,0
371,478,557,0
372,479,557,1
373,480,557,1
374,481,557,1
375,482,557,1
376,483,557,0
377,484,557,0
378,485,557,0
379,486,557,1
380,487,557,3
381,488,557,3
382,489,557,3
383,490,557,3
384,491,557,2
385,492,557,2
386,493,557,3
387,494,557,4
388,495,557,4
389,496,557,4
390,497,557,4
391,498,557,4
392,499,557,4
393,500,557,4
394,501,557,3
395,502,557,1
396,503,557,0
397,504,557,0
398,505,557,0
399,506,557,0
400,507,557,0
401,508,557,0
402,509,557,0
403,510,557,0
404,511,557,0
405,512,557,0
406,513,557,0
407,514,557,0
408,515,557,0
409,516,557,1
410,517,557,2
411,518,557,3
412,519,557,4
413,520,557,4
414,521,557,3
415,522,557,4
416,523,557,5
417,524,557,6
418,525,557,6
419,526,557,5
420,527,557,4
421,528,557,2
422,529,557,1
423,530,557,0
424,531,557,0
425,532,557,0
426,533,557,0
427,534,557,0
428,535,557,0
429,536,557,0
430,537,557,0
431,538,557,0
432,539,557,0
433,540,557,0
434,541,557,0
435,542,557,0
436,543,557,0
437,544,557,0
438,545,557,0
439,546,557,0
440,547,557,0
441,548,557,0
442,549,557,0
443,550,557,0
444,551,557,0
445,552,557,0
446,553,557,0
447,554,557,0
448,555,557,0
449,556,557,0
450,557,557,0
451,558,557,0
452,559,557,0
453,560,557,0
454,561,557,0
455,562,557,0
456,563,557,0
457,564,557,0
458,565,557,0
459,566,557,0
460,567,557,0
461,568,557,0
462,569,557,0
463,570,557,0
464,571,557,0
465,572,557,0
466,573,557,0
467,574,557,0
468,575,557,0
469,459,558,0
470,460,558,0
471,461,558,0
472,462,558,0
473,463,558,0
474,464,558,0
475,465,558,0
476,466,558,0
477,467,558,0
478,468,558,0
479,469,558,0
480,470,558,0
481,471,558,0
482,472,558,0
483,473,558,0
484,474,558,0
485,475,558,0
486,476,558,0
487,477,558,0
488,478,558,0
489,479,558,1
490,480,558,1
491,481,558,1
492,482,558,1
493,483,558,1
494,484,558,0
495,485,558,0
496,486,558,1
497,487,558,2
498,488,558,2
499,489,558,2
500,490,558,1
501,491,558,1
502,492,558,2
503,493,558,3
504,494,558,3
505,495,558,4
506,496,558,4
507,497,558,3
508,498,558,3
509,499,558,2
510,500,558,2
511,501,558,2
512,502,558,0
513,503,558,0
514,504,558,0
515,505,558,0
516,506,558,0
517,507,558,0
518,508,558,0
519,509,558,0
520,510,558,0
521,511,558,0
522,512,558,0
523,513,558,0
524,514,558,0
525,515,558,0
526,516,558,0
527,517,558,1
528,518,558,2
529,519,558,3
530,520,558,5
531,521,558,7
532,522,558,9
533,523,558,12
534,524,558,12
535,525,558,12
536,526,558,9
537,527,558,5
538,528,558,3
539,529,558,1
540,530,558,1
541,531,558,0
542,532,558,0
543,533,558,0
544,534,558,0
545,535,558,0
546,536,558,0
547,537,558,0
548,538,558,0
549,539,558,0
550,540,558,0
551,541,558,0
552,542,558,0
553,543,558,1
554,544,558,1
555,545,558,1
556,546,558,0
557,547,558,0
558,548,558,0
559,549,558,0
560,550,558,0
561,551,558,0
562,552,558,0
563,553,558,0
564,554,558,0
565,555,558,0
566,556,558,0
567,557,558,0
568,558,558,0
569,559,558,0
570,560,558,0
571,561,558,0
572,562,558,0
573,563,558,0
574,564,558,0
575,565,558,0
576,566,558,0
577,567,558,0
578,568,558,0
579,569,558,0
580,570,558,0
581,571,558,0
582,572,558,0
583,573,558,0
584,574,558,0
585,575,558,0
586,459,559,0
587,460,559,0
588,461,559,0
589,462,559,0
590,463,559,0
591,464,559,0
592,465,559,0
593,466,559,0
594,467,559,0
595,468,559,0
596,469,559,0
597,470,559,0
598,471,559,0
599,472,559,0
600,473,559,0
601,474,559,0
602,475,559,0
603,476,559,0
604,477,559,0
605,478,559,0
606,479,559,1
607,480,559,1
608,481,559,2
609,482,559,2
610,483,559,1
611,484,559,1
612,485,559,1
613,486,559,1
614,487,559,1
615,488,559,1
616,489,559,0
617,490,559,0
618,491,559,0
619,492,559,1
620,493,559,2
621,494,559,3
622,495,559,3
623,496,559,3
624,497,559,3
625,498,559,2
626,499,559,1
627,500,559,1
628,501,559,1
629,502,559,0
630,503,559,0
631,504,559,0
632,505,559,0
633,506,559,1
634,507,559,1
635,508,559,0
636,509,559,0
637,510,559,0
638,511,559,0
639,512,559,0
640,513,559,0
641,514,559,0
642,515,559,0
643,516,559,0
644,517,559,0
645,518,559,1
646,519,559,3
647,520,559,8
648,521,559,15
649,522,559,20
650,523,559,25
651,524,559,23
652,525,559,20
653,526,559,13
654,527,559,7
655,528,559,4
656,529,559,1
657,530,559,1
658,531,559,1
659,532,559,1
660,533,559,1
661,534,559,1
662,535,559,1
663,536,559,1
664,537,559,1
665,538,559,0
666,539,559,0
667,540,559,0
668,541,559,0
669,542,559,0
670,543,559,1
671,544,559,3
672,545,559,2
673,546,559,1
674,547,559,0
675,548,559,0
676,549,559,0
677,550,559,0
678,551,559,0
679,552,559,0
680,553,559,0
681,554,559,0
682,555,559,0
683,556,559,0
684,557,559,0
685,558,559,0
686,559,559,0
687,560,559,0
688,561,559,0
689,562,559,0
690,563,559,0
691,564,559,0
692,565,559,0
693,566,559,0
694,567,559,0
695,568,559,0
696,569,559,0
697,570,559,0
698,571,559,0
699,572,559,0
700,573,559,0
701,574,559,0
702,575,559,0
703,459,560,0
704,460,560,0
705,461,560,0
706,462,560,0
707,463,560,0
708,464,560,0
709,465,560,0
710,466,560,0
711,467,560,0
712,468,560,0
713,469,560,0
714,470,560,0
715,471,560,0
716,472,560,0
717,473,560,0
718,474,560,0
719,475,560,0
720,476,560,0
721,477,560,1
722,478,560,1
723,479,560,2
724,480,560,3
725,481,560,4
726,482,560,5
727,483,560,4
728,484,560,3
729,485,560,3
730,486,560,2
731,487,560,2
732,488,560,1
733,489,560,1
734,490,560,1
735,491,560,1
736,492,560,2
737,493,560,3
738,494,560,3
739,495,560,4
740,496,560,5
741,497,560,5
742,498,560,5
743,499,560,4
744,500,560,3
745,501,560,2
746,502,560,1
747,503,560,0
748,504,560,0
749,505,560,0
750,506,560,0
751,507,560,0
752,508,560,0
753,509,560,0
754,510,560,0
755,511,560,0
756,512,560,0
757,513,560,0
758,514,560,0
759,515,560,2
760,516,560,2
761,517,560,1
762,518,560,0
763,519,560,1
764,520,560,44
765,521,560,115
766,522,560,141
767,523,560,148
768,524,560,110
769,525,560,61
770,526,560,31
771,527,560,3
772,528,560,4
773,529,560,4
774,530,560,4
775,531,560,3
776,532,560,2
777,533,560,1
778,534,560,1
779,535,560,0
780,536,560,0
781,537,560,0
782,538,560,0
783,539,560,0
784,540,560,0
785,541,560,0
786,542,560,0
787,543,560,1
788,544,560,1
789,545,560,1
790,546,560,1
791,547,560,0
792,548,560,0
793,549,560,0
794,550,560,0
795,551,560,0
796,552,560,0
797,553,560,0
798,554,560,0
799,555,560,0
800,556,560,0
801,557,560,0
802,558,560,0
803,559,560,0
804,560,560,0
805,561,560,0
806,562,560,0
807,563,560,0
808,564,560,0
809,565,560,0
810,566,560,0
811,567,560,0
812,568,560,0
813,569,560,0
814,570,560,0
815,571,560,0
816,572,560,0
817,573,560,0
818,574,560,0
819,575,560,0
820,459,561,0
821,460,561,0
822,461,561,0
823,462,561,0
824,463,561,0
825,464,561,0
826,465,561,0
827,466,561,0
828,467,561,0
829,468,561,0
830,469,561,0
831,470,561,0
832,471,561,0
833,472,561,0
834,473,561,0
835,474,561,0
836,475,561,0
837,476,561,0
838,477,561,1
839,478,561,3
840,479,561,4
841,480,561,6
842,481,561,7
843,482,561,8
844,483,561,7
845,484,561,6
846,485,561,4
847,486,561,3
848,487,561,2
849,488,561,2
850,489,561,2
851,490,561,2
852,491,561,2
853,492,561,3
854,493,561,3
855,494,561,4
856,495,561,4
857,496,561,6
858,497,561,7
859,498,561,7
860,499,561,6
861,500,561,5
862,501,561,3
863,502,561,1
864,503,561,0
865,504,561,0
866,505,561,0
867,506,561,0
868,507,561,0
869,508,561,0
870,509,561,0
871,510,561,0
872,511,561,0
873,512,561,0
874,513,561,0
875,514,561,1
876,515,561,3
877,516,561,4
878,517,561,2
879,518,561,1
880,519,561,1
881,520,561,69
882,521,561,185
883,522,561,224
884,523,561,233
885,524,561,169
886,525,561,90
887,526,561,43
888,527,561,1
889,528,561,4
890,529,561,7
891,530,561,6
892,531,561,5
893,532,561,3
894,533,561,1
895,534,561,0
896,535,561,0
897,536,561,0
898,537,561,0
899,538,561,0
900,539,561,0
901,540,561,0
902,541,561,0
903,542,561,0
904,543,561,0
905,544,561,0
906,545,561,1
907,546,561,1
908,547,561,0
909,548,561,0
910,549,561,0
911,550,561,0
912,551,561,0
913,552,561,0
914,553,561,0
915,554,561,0
916,555,561,0
917,556,561,0
918,557,561,0
919,558,561,0
920,559,561,0
921,560,561,0
922,561,561,0
923,562,561,0
924,563,561,0
925,564,561,0
926,565,561,0
927,566,561,0
928,567,561,0
929,568,561,0
930,569,561,0
931,570,561,0
932,571,561,0
933,572,561,0
934,573,561,0
935,574,561,0
936,575,561,0
937,459,562,0
938,460,562,0
939,461,562,0
940,462,562,0
941,463,562,0
942,464,562,0
943,465,562,0
944,466,562,0
945,467,562,0
946,468,562,0
947,469,562,0
948,470,562,0
949,471,562,0
950,472,562,0
951,473,562,0
952,474,562,0
953,475,562,0
954,476,562,0
955,477,562,3
956,478,562,7
957,479,562,13
958,480,562,17
959,481,562,16
960,482,562,14
961,483,562,10
962,484,562,6
963,485,562,4
964,486,562,3
965,487,562,3
966,488,562,3
967,489,562,3
968,490,562,3
969,491,562,3
970,492,562,3
971,493,562,3
972,494,562,4
973,495,562,4
974,496,562,5
975,497,562,5
976,498,562,5
977,499,562,5
978,500,562,4
979,501,562,3
980,502,562,1
981,503,562,0
982,504,562,0
983,505,562,0
984,506,562,0
985,507,562,0
986,508,562,0
987,509,562,0
988,510,562,0
989,511,562,0
990,512,562,0
991,513,562,0
992,514,562,1
993,515,562,3
994,516,562,4
995,517,562,5
996,518,562,5
997,519,562,6
998,520,562,35
999,521,562,84
1000,522,562,101
1001,523,562,105
1002,524,562,78
1003,525,562,45
1004,526,562,24
1005,527,562,5
1006,528,562,5
1007,529,562,6
1008,530,562,5
1009,531,562,4
1010,532,562,2
1011,533,562,1
1012,534,562,0
1013,535,562,0
1014,536,562,0
1015,537,562,0
1016,538,562,0
1017,539,562,0
1018,540,562,0
1019,541,562,0
1020,542,562,0
1021,543,562,0
1022,544,562,0
1023,545,562,0
1024,546,562,0
1025,547,562,0
1026,548,562,0
1027,549,562,0
1028,550,562,0
1029,551,562,0
1030,552,562,0
1031,553,562,0
1032,554,562,0
1033,555,562,0
1034,556,562,0
1035,557,562,0
1036,558,562,0
1037,559,562,0
1038,560,562,0
1039,561,562,0
1040,562,562,0
1041,563,562,0
1042,564,562,0
1043,565,562,0
1044,566,562,0
1045,567,562,0
1046,568,562,0
1047,569,562,0
1048,570,562,0
1049,571,562,0
1050,572,562,0
1051,573,562,0
1052,574,562,0
1053,575,562,0
1054,459,563,0
1055,460,563,0
1056,461,563,0
1057,462,563,0
1058,463,563,0
1059,464,563,0
1060,465,563,0
1061,466,563,0
1062,467,563,0
1063,468,563,0
1064,469,563,0
1065,470,563,0
1066,471,563,0
1067,472,563,0
1068,473,563,0
1069,474,563,0
1070,475,563,0
1071,476,563,0
1072,477,563,6
1073,478,563,12
1074,479,563,22
1075,480,563,29
1076,481,563,26
1077,482,563,20
1078,483,563,12
1079,484,563,7
1080,485,563,4
1081,486,563,3
1082,487,563,4
1083,488,563,4
1084,489,563,4
1085,490,563,4
1086,491,563,3
1087,492,563,3
1088,493,563,3
1089,494,563,3
1090,495,563,4
1091,496,563,4
1092,497,563,4
1093,498,563,4
1094,499,563,4
1095,500,563,3
1096,501,563,3
1097,502,563,2
1098,503,563,1
1099,504,563,1
1100,505,563,0
1101,506,563,0
1102,507,563,0
1103,508,563,0
1104,509,563,0
1105,510,563,0
1106,511,563,1
1107,512,563,1
1108,513,563,1
1109,514,563,2
1110,515,563,4
1111,516,563,6
1112,517,563,8
1113,518,563,10
1114,519,563,11
1115,520,563,12
1116,521,563,12
1117,522,563,12
1118,523,563,13
1119,524,563,12
1120,525,563,12
1121,526,563,10
1122,527,563,8
1123,528,563,6
1124,529,563,5
1125,530,563,4
1126,531,563,3
1127,532,563,2
1128,533,563,1
1129,534,563,1
1130,535,563,0
1131,536,563,0
1132,537,563,0
1133,538,563,0
1134,539,563,0
1135,540,563,0
1136,541,563,0
1137,542,563,0
1138,543,563,0
1139,544,563,0
1140,545,563,0
1141,546,563,0
1142,547,563,0
1143,548,563,0
1144,549,563,0
1145,550,563,0
1146,551,563,0
1147,552,563,0
1148,553,563,0
