 ,X,Y,Value
1,1644,520,20
2,1645,520,19
3,1646,520,18
4,1647,520,17
5,1648,520,16
6,1649,520,15
7,1650,520,15
8,1651,520,15
9,1652,520,16
10,1653,520,16
11,1654,520,16
12,1655,520,17
13,1656,520,18
14,1657,520,19
15,1658,520,20
16,1659,520,20
17,1660,520,20
18,1661,520,18
19,1662,520,16
20,1663,520,16
21,1664,520,16
22,1665,520,16
23,1666,520,16
24,1667,520,16
25,1668,520,16
26,1669,520,16
27,1670,520,16
28,1671,520,16
29,1672,520,17
30,1673,520,17
31,1674,520,17
32,1675,520,17
33,1676,520,16
34,1677,520,14
35,1678,520,12
36,1679,520,12
37,1680,520,11
38,1681,520,12
39,1682,520,11
40,1683,520,11
41,1684,520,11
42,1685,520,10
43,1686,520,9
44,1687,520,8
45,1688,520,8
46,1689,520,8
47,1690,520,7
48,1691,520,7
49,1692,520,6
50,1693,520,5
51,1694,520,5
52,1695,520,4
53,1696,520,4
54,1697,520,4
55,1698,520,3
56,1699,520,3
57,1700,520,3
58,1701,520,3
59,1702,520,3
60,1703,520,3
61,1704,520,4
62,1705,520,4
63,1706,520,4
64,1707,520,4
65,1708,520,3
66,1709,520,2
67,1710,520,2
68,1711,520,1
69,1712,520,1
70,1713,520,1
71,1714,520,1
72,1715,520,1
73,1716,520,1
74,1717,520,2
75,1718,520,2
76,1719,520,2
77,1720,520,2
78,1721,520,3
79,1722,520,3
80,1723,520,3
81,1724,520,3
82,1725,520,2
83,1726,520,2
84,1727,520,1
85,1728,520,1
86,1729,520,2
87,1730,520,2
88,1731,520,2
89,1732,520,2
90,1733,520,2
91,1734,520,2
92,1735,520,2
93,1736,520,2
94,1737,520,2
95,1738,520,3
96,1739,520,3
97,1740,520,3
98,1741,520,3
99,1742,520,3
100,1743,520,1
101,1744,520,1
102,1745,520,1
103,1746,520,0
104,1747,520,0
105,1748,520,0
106,1749,520,0
107,1750,520,0
108,1751,520,0
109,1752,520,0
110,1753,520,0
111,1754,520,0
