 ,X,Y,Value
1,1508,294,4
2,1509,294,4
3,1510,294,4
4,1511,294,4
5,1512,294,4
6,1513,294,4
7,1514,294,4
8,1515,294,4
9,1516,294,3
10,1517,294,3
11,1518,294,2
12,1519,294,2
13,1520,294,1
14,1521,294,0
15,1522,294,0
16,1523,294,0
17,1524,294,0
18,1525,294,0
19,1526,294,0
20,1527,294,0
21,1528,294,0
22,1529,294,0
23,1530,294,1
24,1531,294,1
25,1532,294,1
26,1533,294,1
27,1534,294,1
28,1535,294,1
29,1536,294,1
30,1537,294,1
31,1538,294,1
32,1539,294,1
33,1540,294,1
34,1541,294,2
35,1542,294,2
36,1543,294,2
37,1544,294,2
38,1545,294,2
39,1546,294,2
40,1547,294,2
41,1548,294,2
42,1549,294,2
43,1550,294,2
44,1551,294,2
45,1552,294,1
46,1553,294,1
47,1554,294,0
48,1555,294,0
49,1556,294,0
50,1557,294,0
51,1558,294,0
52,1559,294,1
53,1560,294,1
54,1561,294,2
55,1562,294,3
56,1563,294,4
57,1564,294,4
58,1565,294,4
59,1566,294,4
60,1567,294,4
61,1568,294,4
62,1569,294,3
63,1570,294,3
64,1571,294,2
65,1572,294,1
66,1573,294,0
67,1574,294,0
68,1575,294,0
69,1576,294,1
70,1577,294,2
71,1578,294,2
72,1579,294,2
73,1580,294,2
74,1581,294,2
75,1582,294,2
76,1583,294,2
77,1584,294,3
78,1585,294,3
79,1586,294,3
80,1587,294,3
81,1588,294,4
82,1589,294,5
83,1590,294,6
84,1591,294,6
85,1592,294,6
86,1593,294,6
87,1594,294,6
88,1595,294,6
89,1596,294,6
90,1597,294,6
91,1598,294,5
92,1599,294,5
93,1600,294,5
94,1601,294,5
95,1602,294,4
96,1603,294,4
97,1604,294,3
98,1605,294,3
99,1606,294,3
100,1607,294,3
101,1608,294,3
102,1609,294,3
103,1610,294,3
104,1611,294,2
105,1612,294,2
106,1613,294,2
107,1614,294,1
108,1615,294,0
109,1616,294,0
110,1617,294,0
111,1618,294,0
112,1619,294,0
113,1620,294,0
114,1621,294,0
115,1622,294,0
116,1623,294,0
117,1508,295,4
118,1509,295,4
119,1510,295,4
120,1511,295,4
121,1512,295,4
122,1513,295,4
123,1514,295,4
124,1515,295,4
125,1516,295,3
126,1517,295,2
127,1518,295,2
128,1519,295,1
129,1520,295,1
130,1521,295,0
131,1522,295,0
132,1523,295,0
133,1524,295,0
134,1525,295,0
135,1526,295,0
136,1527,295,0
137,1528,295,0
138,1529,295,1
139,1530,295,1
140,1531,295,1
141,1532,295,1
142,1533,295,1
143,1534,295,1
144,1535,295,1
145,1536,295,1
146,1537,295,1
147,1538,295,1
148,1539,295,1
149,1540,295,2
150,1541,295,2
151,1542,295,2
152,1543,295,3
153,1544,295,3
154,1545,295,3
155,1546,295,2
156,1547,295,2
157,1548,295,2
158,1549,295,2
159,1550,295,2
160,1551,295,2
161,1552,295,2
162,1553,295,1
163,1554,295,0
164,1555,295,0
165,1556,295,0
166,1557,295,0
167,1558,295,1
168,1559,295,1
169,1560,295,2
170,1561,295,3
171,1562,295,3
172,1563,295,4
173,1564,295,4
174,1565,295,4
175,1566,295,4
176,1567,295,4
177,1568,295,3
178,1569,295,3
179,1570,295,3
