 ,X,Y,Value
1,930,524,8
2,931,524,9
3,932,524,10
4,933,524,10
5,934,524,11
6,935,524,12
7,936,524,12
8,937,524,13
9,938,524,13
10,939,524,14
11,940,524,14
12,941,524,15
13,942,524,16
14,943,524,17
15,944,524,17
16,945,524,16
17,946,524,15
18,947,524,15
19,948,524,15
20,949,524,15
21,950,524,16
22,951,524,16
23,952,524,15
24,953,524,15
25,954,524,15
26,955,524,15
27,956,524,14
28,957,524,14
29,958,524,13
30,959,524,13
31,960,524,13
32,961,524,13
33,962,524,13
34,963,524,12
35,964,524,11
36,965,524,10
37,966,524,8
38,967,524,7
39,968,524,6
40,969,524,5
41,970,524,3
42,971,524,2
43,972,524,1
44,973,524,1
45,974,524,1
46,975,524,1
47,976,524,1
48,977,524,1
49,978,524,1
50,979,524,1
51,980,524,1
52,981,524,1
53,982,524,1
54,983,524,1
55,984,524,1
56,985,524,1
57,986,524,1
58,987,524,1
59,988,524,1
60,989,524,1
61,990,524,1
62,991,524,1
63,992,524,1
64,993,524,2
65,994,524,3
66,995,524,3
67,996,524,3
68,997,524,2
69,998,524,1
70,999,524,1
71,1000,524,2
72,1001,524,3
73,1002,524,3
74,1003,524,3
75,1004,524,3
76,1005,524,2
77,1006,524,1
78,1007,524,1
79,1008,524,1
80,1009,524,1
81,1010,524,2
82,1011,524,2
83,1012,524,3
84,1013,524,3
85,1014,524,2
86,1015,524,2
87,1016,524,2
88,1017,524,1
89,1018,524,1
90,1019,524,1
91,1020,524,0
92,1021,524,0
93,1022,524,0
94,1023,524,0
95,1024,524,1
96,1025,524,1
97,1026,524,1
98,1027,524,1
99,1028,524,1
100,1029,524,0
101,1030,524,0
102,1031,524,0
103,1032,524,1
104,1033,524,1
105,1034,524,1
106,1035,524,1
107,1036,524,0
108,1037,524,0
109,1038,524,0
110,1039,524,1
111,1040,524,1
112,1041,524,1
113,1042,524,1
114,1043,524,2
115,1044,524,3
116,1045,524,3
117,930,525,9
118,931,525,9
119,932,525,10
120,933,525,10
121,934,525,10
122,935,525,11
123,936,525,11
124,937,525,12
125,938,525,12
126,939,525,13
127,940,525,14
128,941,525,14
129,942,525,15
130,943,525,15
131,944,525,15
132,945,525,15
133,946,525,15
134,947,525,15
135,948,525,15
136,949,525,15
137,950,525,15
138,951,525,15
139,952,525,15
140,953,525,15
141,954,525,15
142,955,525,15
143,956,525,14
144,957,525,14
145,958,525,13
146,959,525,13
147,960,525,13
148,961,525,13
149,962,525,13
150,963,525,13
151,964,525,11
152,965,525,10
153,966,525,8
154,967,525,7
155,968,525,7
156,969,525,6
157,970,525,5
158,971,525,3
159,972,525,2
160,973,525,1
161,974,525,1
162,975,525,0
163,976,525,0
164,977,525,1
165,978,525,1
166,979,525,1
167,980,525,1
168,981,525,1
169,982,525,1
170,983,525,1
171,984,525,1
172,985,525,1
173,986,525,1
174,987,525,1
175,988,525,1
176,989,525,0
177,990,525,0
178,991,525,0
179,992,525,0
180,993,525,0
181,994,525,1
182,995,525,1
183,996,525,1
184,997,525,1
185,998,525,1
186,999,525,2
187,1000,525,3
188,1001,525,3
189,1002,525,3
190,1003,525,2
191,1004,525,1
192,1005,525,0
193,1006,525,0
194,1007,525,1
195,1008,525,1
196,1009,525,2
197,1010,525,2
198,1011,525,4
199,1012,525,4
200,1013,525,3
201,1014,525,3
202,1015,525,2
203,1016,525,2
204,1017,525,2
205,1018,525,2
206,1019,525,1
207,1020,525,1
208,1021,525,1
209,1022,525,1
210,1023,525,1
211,1024,525,2
212,1025,525,2
213,1026,525,1
214,1027,525,1
215,1028,525,1
216,1029,525,0
217,1030,525,0
218,1031,525,0
219,1032,525,1
220,1033,525,1
221,1034,525,1
222,1035,525,1
223,1036,525,0
224,1037,525,0
225,1038,525,0
226,1039,525,0
227,1040,525,0
228,1041,525,0
229,1042,525,0
230,1043,525,0
231,1044,525,0
232,1045,525,0
233,930,526,9
234,931,526,10
235,932,526,10
236,933,526,10
237,934,526,10
238,935,526,11
239,936,526,11
240,937,526,12
241,938,526,12
242,939,526,13
243,940,526,14
244,941,526,15
245,942,526,15
246,943,526,15
247,944,526,15
248,945,526,15
249,946,526,15
250,947,526,15
251,948,526,16
252,949,526,16
253,950,526,15
254,951,526,15
255,952,526,15
256,953,526,15
257,954,526,15
258,955,526,15
259,956,526,15
260,957,526,14
261,958,526,14
262,959,526,14
263,960,526,14
264,961,526,14
265,962,526,13
266,963,526,13
267,964,526,11
268,965,526,10
269,966,526,8
270,967,526,7
271,968,526,7
272,969,526,6
273,970,526,5
274,971,526,3
275,972,526,2
276,973,526,1
277,974,526,1
278,975,526,0
279,976,526,0
280,977,526,0
281,978,526,1
282,979,526,1
283,980,526,1
284,981,526,1
285,982,526,1
286,983,526,1
287,984,526,0
288,985,526,0
289,986,526,0
290,987,526,0
291,988,526,0
292,989,526,0
293,990,526,0
294,991,526,0
295,992,526,0
296,993,526,0
297,994,526,0
298,995,526,1
299,996,526,1
300,997,526,1
301,998,526,1
302,999,526,2
303,1000,526,2
304,1001,526,3
305,1002,526,2
306,1003,526,1
307,1004,526,0
308,1005,526,0
309,1006,526,0
310,1007,526,0
311,1008,526,1
312,1009,526,2
313,1010,526,3
314,1011,526,4
315,1012,526,4
316,1013,526,4
317,1014,526,3
318,1015,526,3
319,1016,526,3
320,1017,526,3
321,1018,526,2
322,1019,526,2
323,1020,526,2
324,1021,526,2
325,1022,526,2
326,1023,526,2
327,1024,526,2
328,1025,526,2
329,1026,526,1
330,1027,526,1
331,1028,526,0
332,1029,526,0
333,1030,526,0
334,1031,526,0
335,1032,526,0
336,1033,526,1
337,1034,526,1
338,1035,526,0
339,1036,526,0
340,1037,526,0
341,1038,526,0
342,1039,526,0
343,1040,526,0
344,1041,526,0
345,1042,526,0
346,1043,526,0
347,1044,526,0
348,1045,526,0
349,930,527,9
350,931,527,10
351,932,527,10
352,933,527,11
353,934,527,11
354,935,527,11
355,936,527,12
356,937,527,12
357,938,527,13
358,939,527,14
359,940,527,14
360,941,527,14
361,942,527,15
362,943,527,15
363,944,527,15
364,945,527,15
365,946,527,15
366,947,527,16
367,948,527,16
368,949,527,16
369,950,527,15
370,951,527,15
371,952,527,15
372,953,527,15
373,954,527,15
374,955,527,15
375,956,527,15
376,957,527,14
377,958,527,14
378,959,527,14
379,960,527,14
380,961,527,13
381,962,527,13
382,963,527,13
383,964,527,11
384,965,527,10
385,966,527,8
386,967,527,7
387,968,527,6
388,969,527,5
389,970,527,4
390,971,527,4
391,972,527,3
392,973,527,2
393,974,527,1
394,975,527,1
395,976,527,1
396,977,527,1
397,978,527,1
398,979,527,1
399,980,527,1
400,981,527,1
401,982,527,1
402,983,527,0
403,984,527,0
404,985,527,0
405,986,527,0
406,987,527,0
407,988,527,0
408,989,527,0
409,990,527,0
410,991,527,0
411,992,527,0
412,993,527,0
413,994,527,1
414,995,527,1
415,996,527,1
416,997,527,1
417,998,527,1
418,999,527,1
419,1000,527,2
420,1001,527,2
421,1002,527,2
422,1003,527,2
423,1004,527,1
424,1005,527,0
425,1006,527,0
426,1007,527,1
427,1008,527,1
428,1009,527,2
429,1010,527,2
430,1011,527,3
431,1012,527,4
432,1013,527,4
433,1014,527,4
434,1015,527,3
435,1016,527,3
436,1017,527,3
437,1018,527,3
438,1019,527,3
439,1020,527,2
440,1021,527,2
441,1022,527,2
442,1023,527,2
443,1024,527,2
444,1025,527,1
445,1026,527,1
446,1027,527,0
447,1028,527,0
448,1029,527,0
449,1030,527,0
450,1031,527,0
451,1032,527,0
452,1033,527,0
453,1034,527,0
454,1035,527,0
455,1036,527,0
456,1037,527,0
457,1038,527,0
458,1039,527,0
459,1040,527,0
460,1041,527,0
461,1042,527,0
462,1043,527,0
463,1044,527,0
464,1045,527,0
465,930,528,9
466,931,528,10
467,932,528,10
468,933,528,11
469,934,528,11
470,935,528,12
471,936,528,13
472,937,528,13
473,938,528,13
474,939,528,14
475,940,528,14
476,941,528,14
477,942,528,14
478,943,528,15
479,944,528,15
480,945,528,15
481,946,528,16
482,947,528,17
483,948,528,16
484,949,528,16
485,950,528,15
486,951,528,15
487,952,528,14
488,953,528,13
489,954,528,13
490,955,528,13
491,956,528,13
492,957,528,13
493,958,528,13
494,959,528,13
495,960,528,13
496,961,528,13
497,962,528,13
498,963,528,12
499,964,528,11
500,965,528,10
501,966,528,8
502,967,528,7
503,968,528,6
504,969,528,5
505,970,528,4
506,971,528,4
507,972,528,3
508,973,528,2
509,974,528,1
510,975,528,1
511,976,528,1
512,977,528,1
513,978,528,1
514,979,528,1
515,980,528,1
516,981,528,0
517,982,528,0
518,983,528,0
519,984,528,0
520,985,528,0
521,986,528,1
522,987,528,1
523,988,528,0
524,989,528,0
525,990,528,0
526,991,528,0
527,992,528,0
528,993,528,1
529,994,528,1
530,995,528,1
531,996,528,1
532,997,528,1
533,998,528,1
534,999,528,1
535,1000,528,2
536,1001,528,2
537,1002,528,2
538,1003,528,2
539,1004,528,2
540,1005,528,1
541,1006,528,1
542,1007,528,1
543,1008,528,1
544,1009,528,1
545,1010,528,2
546,1011,528,2
547,1012,528,2
548,1013,528,3
549,1014,528,4
550,1015,528,4
551,1016,528,4
552,1017,528,6
553,1018,528,7
554,1019,528,7
555,1020,528,7
556,1021,528,5
557,1022,528,3
558,1023,528,2
559,1024,528,1
560,1025,528,1
561,1026,528,0
562,1027,528,0
563,1028,528,0
564,1029,528,0
565,1030,528,0
566,1031,528,0
567,1032,528,0
568,1033,528,0
569,1034,528,0
570,1035,528,0
571,1036,528,0
572,1037,528,0
573,1038,528,0
574,1039,528,0
575,1040,528,0
576,1041,528,0
577,1042,528,0
578,1043,528,0
579,1044,528,0
580,1045,528,0
581,930,529,9
582,931,529,10
583,932,529,11
584,933,529,11
585,934,529,12
586,935,529,13
587,936,529,13
588,937,529,13
589,938,529,13
590,939,529,13
591,940,529,13
592,941,529,13
593,942,529,14
594,943,529,14
595,944,529,15
596,945,529,16
597,946,529,17
598,947,529,17
599,948,529,17
600,949,529,16
601,950,529,15
602,951,529,14
603,952,529,13
604,953,529,12
605,954,529,12
606,955,529,12
607,956,529,12
608,957,529,13
609,958,529,13
610,959,529,13
611,960,529,13
612,961,529,13
613,962,529,12
614,963,529,12
615,964,529,11
616,965,529,10
617,966,529,9
618,967,529,8
619,968,529,7
620,969,529,6
621,970,529,5
622,971,529,4
623,972,529,3
624,973,529,2
625,974,529,1
626,975,529,1
627,976,529,1
628,977,529,1
629,978,529,1
630,979,529,1
631,980,529,0
632,981,529,0
633,982,529,0
634,983,529,0
635,984,529,0
636,985,529,1
637,986,529,1
638,987,529,1
639,988,529,1
640,989,529,0
641,990,529,0
642,991,529,0
643,992,529,0
644,993,529,1
645,994,529,1
646,995,529,1
647,996,529,1
648,997,529,1
649,998,529,1
650,999,529,1
651,1000,529,2
652,1001,529,2
653,1002,529,2
654,1003,529,2
655,1004,529,2
656,1005,529,2
657,1006,529,1
658,1007,529,1
659,1008,529,1
660,1009,529,1
661,1010,529,2
662,1011,529,2
663,1012,529,2
664,1013,529,2
665,1014,529,3
666,1015,529,4
667,1016,529,6
668,1017,529,9
669,1018,529,12
670,1019,529,12
671,1020,529,10
672,1021,529,7
673,1022,529,5
674,1023,529,3
675,1024,529,1
676,1025,529,0
677,1026,529,0
678,1027,529,0
679,1028,529,0
680,1029,529,0
681,1030,529,0
682,1031,529,0
683,1032,529,0
684,1033,529,0
685,1034,529,0
686,1035,529,0
687,1036,529,0
688,1037,529,0
689,1038,529,1
690,1039,529,1
691,1040,529,0
692,1041,529,0
693,1042,529,0
694,1043,529,0
695,1044,529,0
696,1045,529,0
697,930,530,9
698,931,530,10
699,932,530,11
