 ,X,Y,Value
1,920,304,0
2,921,304,0
3,922,304,0
4,923,304,0
5,924,304,0
6,925,304,0
7,926,304,0
8,927,304,0
9,928,304,0
10,929,304,0
11,930,304,0
12,931,304,0
13,932,304,0
14,933,304,0
15,934,304,0
16,935,304,0
17,936,304,0
18,937,304,0
19,938,304,0
20,939,304,0
21,940,304,0
22,941,304,0
23,942,304,0
24,943,304,0
25,944,304,0
26,945,304,0
27,946,304,0
28,947,304,0
29,948,304,0
30,949,304,0
31,950,304,0
32,951,304,0
33,952,304,0
34,953,304,0
35,954,304,0
36,955,304,0
37,956,304,0
38,957,304,0
39,958,304,0
40,959,304,0
41,960,304,0
42,961,304,0
43,962,304,0
44,963,304,0
45,964,304,0
46,965,304,0
47,966,304,0
48,967,304,0
49,968,304,0
50,969,304,0
51,970,304,0
52,971,304,0
53,972,304,0
54,973,304,0
55,974,304,0
56,975,304,0
57,976,304,0
58,977,304,0
59,978,304,0
60,979,304,0
61,980,304,0
62,981,304,0
63,982,304,0
64,983,304,0
65,984,304,0
66,985,304,0
67,986,304,0
68,987,304,0
69,988,304,0
70,989,304,0
71,990,304,0
72,991,304,0
73,992,304,0
74,993,304,0
75,994,304,0
76,995,304,0
77,996,304,0
78,997,304,0
79,998,304,0
80,999,304,0
81,1000,304,0
82,1001,304,0
83,1002,304,0
84,1003,304,0
85,1004,304,0
86,1005,304,0
87,1006,304,0
88,1007,304,0
89,1008,304,0
90,1009,304,0
91,1010,304,0
92,1011,304,0
93,1012,304,0
94,1013,304,0
95,1014,304,0
96,1015,304,0
97,1016,304,0
98,1017,304,0
99,1018,304,0
100,1019,304,0
101,1020,304,0
102,1021,304,0
103,1022,304,0
104,1023,304,0
105,1024,304,0
106,1025,304,0
107,1026,304,0
108,1027,304,0
109,1028,304,0
110,1029,304,0
111,1030,304,0
112,1031,304,0
113,1032,304,0
114,1033,304,0
115,1034,304,0
116,1035,304,0
117,920,305,0
118,921,305,0
119,922,305,0
120,923,305,0
121,924,305,0
122,925,305,0
123,926,305,0
124,927,305,0
125,928,305,0
126,929,305,0
127,930,305,0
128,931,305,0
129,932,305,0
130,933,305,0
131,934,305,0
132,935,305,0
133,936,305,0
134,937,305,0
135,938,305,0
136,939,305,0
137,940,305,0
138,941,305,0
139,942,305,0
140,943,305,0
141,944,305,0
142,945,305,0
143,946,305,0
144,947,305,0
145,948,305,0
146,949,305,0
147,950,305,0
148,951,305,0
149,952,305,0
150,953,305,0
151,954,305,0
152,955,305,0
153,956,305,0
154,957,305,0
155,958,305,0
156,959,305,0
157,960,305,0
158,961,305,0
159,962,305,0
160,963,305,0
161,964,305,0
162,965,305,0
163,966,305,0
164,967,305,0
165,968,305,0
166,969,305,0
167,970,305,0
168,971,305,0
169,972,305,0
170,973,305,0
171,974,305,0
172,975,305,0
173,976,305,0
174,977,305,0
175,978,305,0
176,979,305,0
177,980,305,0
178,981,305,0
179,982,305,0
180,983,305,0
181,984,305,0
182,985,305,0
183,986,305,0
184,987,305,0
185,988,305,0
186,989,305,0
187,990,305,0
188,991,305,0
189,992,305,0
190,993,305,0
191,994,305,0
192,995,305,0
193,996,305,0
194,997,305,0
195,998,305,0
196,999,305,0
197,1000,305,0
198,1001,305,0
199,1002,305,0
200,1003,305,0
201,1004,305,0
202,1005,305,0
203,1006,305,0
204,1007,305,0
205,1008,305,0
206,1009,305,0
207,1010,305,0
208,1011,305,0
209,1012,305,0
210,1013,305,0
211,1014,305,0
212,1015,305,0
213,1016,305,0
214,1017,305,0
215,1018,305,0
216,1019,305,0
217,1020,305,0
218,1021,305,0
219,1022,305,0
220,1023,305,0
221,1024,305,0
222,1025,305,0
223,1026,305,0
224,1027,305,0
225,1028,305,0
226,1029,305,0
227,1030,305,0
228,1031,305,0
229,1032,305,0
230,1033,305,0
231,1034,305,0
232,1035,305,0
233,920,306,1
234,921,306,0
235,922,306,0
236,923,306,0
237,924,306,0
238,925,306,0
239,926,306,0
240,927,306,0
241,928,306,0
242,929,306,0
243,930,306,1
244,931,306,1
245,932,306,0
246,933,306,0
247,934,306,0
248,935,306,0
249,936,306,0
250,937,306,0
251,938,306,0
252,939,306,0
253,940,306,0
254,941,306,0
255,942,306,0
256,943,306,0
257,944,306,0
258,945,306,0
259,946,306,0
260,947,306,0
261,948,306,0
262,949,306,0
263,950,306,0
264,951,306,0
265,952,306,0
266,953,306,0
267,954,306,0
268,955,306,0
269,956,306,0
270,957,306,0
271,958,306,0
272,959,306,0
273,960,306,0
274,961,306,0
275,962,306,0
276,963,306,0
277,964,306,0
278,965,306,0
279,966,306,0
280,967,306,0
281,968,306,0
282,969,306,0
283,970,306,0
284,971,306,0
285,972,306,0
286,973,306,0
287,974,306,0
288,975,306,0
289,976,306,0
290,977,306,0
291,978,306,0
292,979,306,0
293,980,306,0
294,981,306,0
295,982,306,0
296,983,306,0
297,984,306,0
298,985,306,0
299,986,306,0
300,987,306,0
301,988,306,0
302,989,306,0
303,990,306,0
304,991,306,0
305,992,306,0
306,993,306,0
307,994,306,0
308,995,306,0
309,996,306,0
310,997,306,0
311,998,306,0
312,999,306,0
313,1000,306,0
314,1001,306,0
315,1002,306,0
316,1003,306,0
317,1004,306,0
318,1005,306,0
319,1006,306,0
320,1007,306,0
321,1008,306,0
322,1009,306,0
323,1010,306,0
324,1011,306,0
325,1012,306,0
326,1013,306,0
327,1014,306,0
328,1015,306,0
329,1016,306,0
330,1017,306,0
331,1018,306,0
332,1019,306,0
333,1020,306,0
334,1021,306,0
335,1022,306,0
336,1023,306,0
337,1024,306,0
338,1025,306,0
339,1026,306,0
340,1027,306,0
341,1028,306,0
342,1029,306,0
343,1030,306,0
344,1031,306,0
345,1032,306,0
346,1033,306,0
347,1034,306,0
348,1035,306,0
349,920,307,1
350,921,307,0
351,922,307,0
352,923,307,1
353,924,307,1
354,925,307,2
355,926,307,2
356,927,307,1
357,928,307,1
358,929,307,1
359,930,307,2
360,931,307,2
361,932,307,2
362,933,307,2
363,934,307,1
364,935,307,1
365,936,307,1
366,937,307,1
367,938,307,1
368,939,307,1
369,940,307,1
370,941,307,0
371,942,307,0
372,943,307,0
373,944,307,0
374,945,307,0
375,946,307,0
376,947,307,0
377,948,307,0
378,949,307,0
379,950,307,0
380,951,307,0
381,952,307,0
382,953,307,0
383,954,307,0
384,955,307,0
385,956,307,0
386,957,307,0
387,958,307,0
388,959,307,0
389,960,307,0
390,961,307,0
391,962,307,0
392,963,307,0
393,964,307,0
394,965,307,0
395,966,307,0
396,967,307,0
397,968,307,0
398,969,307,0
399,970,307,0
400,971,307,0
401,972,307,0
402,973,307,0
403,974,307,0
404,975,307,0
405,976,307,0
406,977,307,0
407,978,307,0
408,979,307,0
409,980,307,0
410,981,307,0
411,982,307,0
412,983,307,0
413,984,307,0
414,985,307,0
415,986,307,0
416,987,307,0
417,988,307,0
418,989,307,0
419,990,307,0
420,991,307,0
421,992,307,0
422,993,307,0
423,994,307,0
424,995,307,0
425,996,307,0
426,997,307,0
427,998,307,0
428,999,307,0
429,1000,307,0
430,1001,307,0
431,1002,307,0
432,1003,307,0
433,1004,307,0
434,1005,307,0
435,1006,307,0
436,1007,307,0
437,1008,307,0
438,1009,307,0
439,1010,307,0
440,1011,307,0
441,1012,307,0
442,1013,307,0
443,1014,307,0
444,1015,307,0
445,1016,307,0
446,1017,307,0
447,1018,307,0
448,1019,307,0
449,1020,307,0
450,1021,307,0
451,1022,307,0
452,1023,307,0
453,1024,307,0
454,1025,307,0
455,1026,307,0
456,1027,307,0
457,1028,307,0
458,1029,307,0
459,1030,307,0
460,1031,307,0
461,1032,307,0
462,1033,307,0
463,1034,307,0
464,1035,307,0
465,920,308,1
466,921,308,1
467,922,308,1
468,923,308,1
469,924,308,2
470,925,308,3
471,926,308,3
472,927,308,2
473,928,308,2
474,929,308,3
475,930,308,3
476,931,308,4
477,932,308,4
478,933,308,4
479,934,308,3
480,935,308,3
481,936,308,3
482,937,308,3
483,938,308,3
484,939,308,3
485,940,308,3
486,941,308,1
487,942,308,1
488,943,308,0
489,944,308,0
490,945,308,0
491,946,308,0
492,947,308,0
493,948,308,0
494,949,308,0
495,950,308,0
496,951,308,0
497,952,308,0
498,953,308,0
499,954,308,0
500,955,308,0
501,956,308,0
502,957,308,0
503,958,308,0
504,959,308,0
505,960,308,0
506,961,308,0
507,962,308,0
508,963,308,0
509,964,308,0
510,965,308,0
511,966,308,0
512,967,308,0
513,968,308,0
514,969,308,0
515,970,308,0
516,971,308,0
517,972,308,0
518,973,308,0
519,974,308,0
520,975,308,0
