 ,X,Y,Value
1,808,537,0
2,809,537,0
3,810,537,0
4,811,537,0
5,812,537,0
6,813,537,0
7,814,537,0
8,815,537,0
9,816,537,0
10,817,537,0
11,818,537,0
12,819,537,0
13,820,537,0
14,821,537,0
15,822,537,0
16,823,537,0
17,824,537,0
18,825,537,0
19,826,537,0
20,827,537,0
21,828,537,0
22,829,537,0
23,830,537,0
24,831,537,0
25,832,537,0
26,833,537,0
27,834,537,0
28,835,537,0
29,836,537,0
30,837,537,1
31,838,537,2
32,839,537,2
33,840,537,2
34,841,537,2
35,842,537,1
36,843,537,1
37,844,537,2
38,845,537,3
39,846,537,3
40,847,537,5
41,848,537,6
42,849,537,5
43,850,537,4
44,851,537,4
45,852,537,4
46,853,537,5
47,854,537,6
48,855,537,6
49,856,537,7
50,857,537,7
51,858,537,8
52,859,537,8
53,860,537,8
54,861,537,8
55,862,537,6
56,863,537,4
57,864,537,3
58,865,537,2
59,866,537,3
60,867,537,4
61,868,537,3
62,869,537,3
63,870,537,3
64,871,537,2
65,872,537,2
66,873,537,1
67,874,537,0
68,875,537,0
69,876,537,0
70,877,537,0
71,878,537,0
72,879,537,0
73,880,537,0
74,881,537,0
75,882,537,0
76,883,537,0
77,884,537,0
78,885,537,1
79,886,537,1
80,887,537,1
81,888,537,0
82,889,537,0
83,890,537,0
84,891,537,0
85,892,537,0
86,893,537,0
87,894,537,0
88,895,537,0
89,896,537,0
90,897,537,0
91,898,537,0
92,899,537,0
93,900,537,0
94,901,537,0
95,902,537,0
96,903,537,0
97,904,537,0
98,905,537,0
99,906,537,0
100,907,537,0
101,908,537,0
102,909,537,0
103,910,537,0
104,911,537,0
105,912,537,0
106,913,537,0
107,914,537,0
108,915,537,0
109,916,537,0
110,917,537,0
111,918,537,0
112,919,537,0
113,920,537,1
114,921,537,2
115,922,537,3
116,923,537,5
117,924,537,6
118,925,537,7
119,926,537,8
120,927,537,9
121,928,537,10
122,929,537,12
123,930,537,12
124,931,537,13
125,808,538,0
126,809,538,0
127,810,538,0
128,811,538,0
129,812,538,0
130,813,538,0
131,814,538,0
132,815,538,0
133,816,538,0
134,817,538,0
135,818,538,0
136,819,538,0
137,820,538,0
138,821,538,0
139,822,538,0
140,823,538,0
141,824,538,0
142,825,538,0
143,826,538,0
144,827,538,0
145,828,538,0
146,829,538,0
147,830,538,0
148,831,538,0
149,832,538,0
150,833,538,0
151,834,538,0
152,835,538,0
153,836,538,1
154,837,538,2
155,838,538,3
156,839,538,4
157,840,538,4
158,841,538,3
159,842,538,2
160,843,538,1
161,844,538,1
162,845,538,2
163,846,538,2
164,847,538,4
165,848,538,5
166,849,538,6
167,850,538,6
168,851,538,5
169,852,538,5
170,853,538,6
171,854,538,7
172,855,538,8
173,856,538,8
174,857,538,8
175,858,538,9
176,859,538,10
177,860,538,10
178,861,538,10
179,862,538,7
180,863,538,5
181,864,538,3
182,865,538,1
183,866,538,2
184,867,538,3
185,868,538,4
186,869,538,4
187,870,538,4
188,871,538,3
189,872,538,2
190,873,538,1
191,874,538,0
192,875,538,0
193,876,538,0
194,877,538,0
195,878,538,0
196,879,538,0
197,880,538,0
198,881,538,0
199,882,538,0
200,883,538,0
201,884,538,0
202,885,538,1
203,886,538,1
204,887,538,0
205,888,538,0
206,889,538,0
207,890,538,0
208,891,538,0
209,892,538,0
210,893,538,0
211,894,538,0
212,895,538,0
213,896,538,0
214,897,538,0
215,898,538,0
216,899,538,0
217,900,538,0
218,901,538,0
219,902,538,0
220,903,538,0
221,904,538,0
222,905,538,0
223,906,538,0
224,907,538,0
225,908,538,0
226,909,538,0
227,910,538,0
228,911,538,0
229,912,538,0
230,913,538,0
231,914,538,0
232,915,538,0
233,916,538,0
234,917,538,0
235,918,538,0
236,919,538,1
237,920,538,1
238,921,538,3
239,922,538,4
240,923,538,5
241,924,538,6
242,925,538,7
243,926,538,9
244,927,538,11
245,928,538,12
246,929,538,14
247,930,538,13
248,931,538,13
249,808,539,0
250,809,539,0
251,810,539,0
252,811,539,0
253,812,539,0
254,813,539,0
255,814,539,0
256,815,539,0
257,816,539,0
258,817,539,0
259,818,539,0
260,819,539,0
261,820,539,0
262,821,539,0
263,822,539,0
264,823,539,0
265,824,539,0
266,825,539,0
267,826,539,0
268,827,539,0
269,828,539,0
270,829,539,0
271,830,539,0
272,831,539,0
273,832,539,0
274,833,539,0
275,834,539,0
276,835,539,1
277,836,539,2
278,837,539,3
279,838,539,4
280,839,539,4
281,840,539,4
282,841,539,3
283,842,539,2
284,843,539,2
285,844,539,2
286,845,539,2
287,846,539,3
288,847,539,4
289,848,539,5
290,849,539,5
291,850,539,5
292,851,539,5
293,852,539,5
294,853,539,7
295,854,539,7
296,855,539,8
297,856,539,8
298,857,539,7
299,858,539,7
300,859,539,8
301,860,539,8
302,861,539,8
303,862,539,6
304,863,539,4
305,864,539,2
306,865,539,1
307,866,539,2
308,867,539,3
309,868,539,3
310,869,539,4
311,870,539,4
312,871,539,3
313,872,539,2
314,873,539,1
315,874,539,0
316,875,539,0
317,876,539,0
318,877,539,0
319,878,539,0
320,879,539,0
321,880,539,0
322,881,539,0
323,882,539,0
324,883,539,0
325,884,539,0
326,885,539,0
327,886,539,0
328,887,539,0
329,888,539,0
330,889,539,0
331,890,539,0
332,891,539,0
333,892,539,0
334,893,539,0
335,894,539,0
336,895,539,0
337,896,539,0
338,897,539,0
339,898,539,0
340,899,539,0
341,900,539,0
342,901,539,0
343,902,539,0
344,903,539,0
345,904,539,0
346,905,539,0
347,906,539,0
348,907,539,0
349,908,539,0
350,909,539,0
351,910,539,0
352,911,539,0
353,912,539,0
354,913,539,0
355,914,539,0
356,915,539,0
357,916,539,0
358,917,539,0
359,918,539,1
360,919,539,1
361,920,539,2
362,921,539,3
363,922,539,4
364,923,539,6
365,924,539,6
366,925,539,7
367,926,539,8
368,927,539,10
369,928,539,11
370,929,539,13
371,930,539,14
372,931,539,15
373,808,540,0
374,809,540,0
375,810,540,0
376,811,540,0
377,812,540,0
378,813,540,0
379,814,540,0
380,815,540,0
381,816,540,0
382,817,540,0
383,818,540,0
384,819,540,0
385,820,540,0
386,821,540,0
387,822,540,0
388,823,540,0
389,824,540,0
390,825,540,0
391,826,540,0
392,827,540,0
393,828,540,0
394,829,540,0
395,830,540,0
396,831,540,0
397,832,540,0
398,833,540,0
399,834,540,0
400,835,540,1
401,836,540,3
402,837,540,4
403,838,540,5
404,839,540,4
405,840,540,3
406,841,540,3
407,842,540,3
408,843,540,3
409,844,540,3
410,845,540,3
411,846,540,4
412,847,540,4
413,848,540,4
414,849,540,4
415,850,540,4
416,851,540,5
417,852,540,5
418,853,540,7
419,854,540,7
420,855,540,8
421,856,540,7
422,857,540,6
423,858,540,6
424,859,540,5
425,860,540,5
426,861,540,4
427,862,540,4
428,863,540,3
429,864,540,2
430,865,540,1
431,866,540,1
432,867,540,2
433,868,540,3
434,869,540,4
435,870,540,3
436,871,540,2
437,872,540,1
438,873,540,1
439,874,540,0
440,875,540,0
441,876,540,0
442,877,540,0
443,878,540,0
444,879,540,0
445,880,540,0
446,881,540,0
447,882,540,0
448,883,540,0
449,884,540,0
450,885,540,0
451,886,540,0
452,887,540,0
453,888,540,0
454,889,540,0
455,890,540,0
456,891,540,0
457,892,540,0
458,893,540,0
459,894,540,0
460,895,540,0
461,896,540,0
462,897,540,0
463,898,540,0
464,899,540,0
465,900,540,0
466,901,540,0
467,902,540,0
468,903,540,0
469,904,540,0
470,905,540,0
471,906,540,0
472,907,540,0
473,908,540,0
474,909,540,0
475,910,540,0
476,911,540,0
477,912,540,0
478,913,540,0
479,914,540,0
480,915,540,0
481,916,540,0
482,917,540,1
483,918,540,1
484,919,540,2
485,920,540,3
486,921,540,4
487,922,540,5
488,923,540,7
489,924,540,7
