 ,X,Y,Value
1,1292,520,0
2,1293,520,0
3,1294,520,0
4,1295,520,0
5,1296,520,0
6,1297,520,0
7,1298,520,0
8,1299,520,0
9,1300,520,0
10,1301,520,0
11,1302,520,0
12,1303,520,0
13,1304,520,0
14,1305,520,0
15,1306,520,0
16,1307,520,0
17,1308,520,0
18,1309,520,0
19,1310,520,0
20,1311,520,0
21,1312,520,0
22,1313,520,0
23,1314,520,0
24,1315,520,0
25,1316,520,0
26,1317,520,0
27,1318,520,0
28,1319,520,0
29,1320,520,0
30,1321,520,0
31,1322,520,0
32,1323,520,0
33,1324,520,0
34,1325,520,0
35,1326,520,0
36,1327,520,0
37,1328,520,0
38,1329,520,0
39,1330,520,0
40,1331,520,0
41,1332,520,0
42,1333,520,0
43,1334,520,0
44,1335,520,0
45,1336,520,0
46,1337,520,0
47,1338,520,0
48,1339,520,0
49,1340,520,0
50,1341,520,0
51,1342,520,0
52,1343,520,0
53,1344,520,0
54,1345,520,0
55,1346,520,0
56,1347,520,0
57,1348,520,0
58,1349,520,0
59,1350,520,0
60,1351,520,0
61,1352,520,0
62,1353,520,0
63,1354,520,0
64,1355,520,0
65,1356,520,0
66,1357,520,0
67,1358,520,0
68,1359,520,0
69,1360,520,0
70,1361,520,0
71,1362,520,0
72,1363,520,0
73,1364,520,0
74,1365,520,0
75,1366,520,0
76,1367,520,0
77,1368,520,0
78,1369,520,0
79,1370,520,0
80,1371,520,0
81,1372,520,0
82,1373,520,0
83,1374,520,0
84,1375,520,0
85,1376,520,0
86,1377,520,0
87,1378,520,0
88,1379,520,0
89,1380,520,0
90,1381,520,0
91,1382,520,0
92,1383,520,0
93,1384,520,0
94,1385,520,0
95,1386,520,0
96,1387,520,0
97,1388,520,0
98,1389,520,0
99,1390,520,0
100,1391,520,0
101,1392,520,0
102,1393,520,0
103,1394,520,0
104,1395,520,0
105,1396,520,0
106,1397,520,0
107,1398,520,0
108,1399,520,0
109,1400,520,0
110,1401,520,0
111,1402,520,0
112,1403,520,0
113,1404,520,0
114,1405,520,0
115,1406,520,0
116,1407,520,0
117,1292,521,0
118,1293,521,0
119,1294,521,0
120,1295,521,0
121,1296,521,0
122,1297,521,0
123,1298,521,0
124,1299,521,0
125,1300,521,0
126,1301,521,0
127,1302,521,0
128,1303,521,0
129,1304,521,0
130,1305,521,0
131,1306,521,0
132,1307,521,0
133,1308,521,0
134,1309,521,0
135,1310,521,0
136,1311,521,0
137,1312,521,0
138,1313,521,0
139,1314,521,0
140,1315,521,0
141,1316,521,0
142,1317,521,0
143,1318,521,0
144,1319,521,0
145,1320,521,0
146,1321,521,0
147,1322,521,0
148,1323,521,0
149,1324,521,0
150,1325,521,0
151,1326,521,0
152,1327,521,0
153,1328,521,0
154,1329,521,0
155,1330,521,0
156,1331,521,0
157,1332,521,0
158,1333,521,0
159,1334,521,0
160,1335,521,0
161,1336,521,0
162,1337,521,0
163,1338,521,0
164,1339,521,0
165,1340,521,0
166,1341,521,0
167,1342,521,0
168,1343,521,0
169,1344,521,0
170,1345,521,0
171,1346,521,0
172,1347,521,0
173,1348,521,0
174,1349,521,0
175,1350,521,0
176,1351,521,0
177,1352,521,0
178,1353,521,0
179,1354,521,0
180,1355,521,0
181,1356,521,0
182,1357,521,0
183,1358,521,0
184,1359,521,0
185,1360,521,0
186,1361,521,0
187,1362,521,0
188,1363,521,0
189,1364,521,0
190,1365,521,0
191,1366,521,0
192,1367,521,0
193,1368,521,0
194,1369,521,0
195,1370,521,0
196,1371,521,0
197,1372,521,0
198,1373,521,0
199,1374,521,0
200,1375,521,0
201,1376,521,0
202,1377,521,0
203,1378,521,0
204,1379,521,0
205,1380,521,0
206,1381,521,0
207,1382,521,0
208,1383,521,0
209,1384,521,0
210,1385,521,0
211,1386,521,0
212,1387,521,0
213,1388,521,0
214,1389,521,0
215,1390,521,0
216,1391,521,0
217,1392,521,0
218,1393,521,0
219,1394,521,0
220,1395,521,0
221,1396,521,0
222,1397,521,0
223,1398,521,0
224,1399,521,0
225,1400,521,0
226,1401,521,0
227,1402,521,0
228,1403,521,0
229,1404,521,0
