 ,X,Y,Value
1,1278,308,0
2,1279,308,0
3,1280,308,0
4,1281,308,0
5,1282,308,0
6,1283,308,0
7,1284,308,0
8,1285,308,0
9,1286,308,0
10,1287,308,0
11,1288,308,0
12,1289,308,0
13,1290,308,0
14,1291,308,0
15,1292,308,0
16,1293,308,0
17,1294,308,0
18,1295,308,0
19,1296,308,0
20,1297,308,0
21,1298,308,0
22,1299,308,0
23,1300,308,0
24,1301,308,0
25,1302,308,0
26,1303,308,0
27,1304,308,0
28,1305,308,0
29,1306,308,0
30,1307,308,0
31,1308,308,0
32,1309,308,0
33,1310,308,0
34,1311,308,0
35,1312,308,0
36,1313,308,0
37,1314,308,0
38,1315,308,0
39,1316,308,0
40,1317,308,0
41,1318,308,0
42,1319,308,0
43,1320,308,0
44,1321,308,1
45,1322,308,1
46,1323,308,1
47,1324,308,1
48,1325,308,0
49,1326,308,0
50,1327,308,0
51,1328,308,0
52,1329,308,0
53,1330,308,0
54,1331,308,0
55,1332,308,0
56,1333,308,0
57,1334,308,0
58,1335,308,0
59,1336,308,0
60,1337,308,0
61,1338,308,0
62,1339,308,0
63,1340,308,0
64,1341,308,0
65,1342,308,0
66,1343,308,0
67,1344,308,0
68,1345,308,0
69,1346,308,0
70,1347,308,0
71,1348,308,0
72,1349,308,0
73,1350,308,0
74,1351,308,0
75,1352,308,0
76,1353,308,0
77,1354,308,0
78,1355,308,0
79,1356,308,0
80,1357,308,0
81,1358,308,0
82,1359,308,0
83,1360,308,0
84,1361,308,0
85,1362,308,0
86,1363,308,0
87,1364,308,0
88,1365,308,0
89,1366,308,0
90,1367,308,0
91,1368,308,0
92,1369,308,0
93,1370,308,0
94,1371,308,0
95,1372,308,0
96,1373,308,0
97,1374,308,0
98,1375,308,0
99,1376,308,0
100,1377,308,0
101,1378,308,0
102,1379,308,0
103,1380,308,0
104,1381,308,2
105,1382,308,3
106,1383,308,3
107,1384,308,1
108,1385,308,0
109,1386,308,0
110,1387,308,0
111,1388,308,0
112,1389,308,0
113,1390,308,0
114,1391,308,0
115,1392,308,0
116,1393,308,0
117,1278,309,0
118,1279,309,0
119,1280,309,0
120,1281,309,0
121,1282,309,0
122,1283,309,0
123,1284,309,0
124,1285,309,0
125,1286,309,0
126,1287,309,0
127,1288,309,0
128,1289,309,0
129,1290,309,0
130,1291,309,0
131,1292,309,0
132,1293,309,0
133,1294,309,0
134,1295,309,0
135,1296,309,0
136,1297,309,0
137,1298,309,0
138,1299,309,0
139,1300,309,0
140,1301,309,0
141,1302,309,0
142,1303,309,0
143,1304,309,0
144,1305,309,0
145,1306,309,0
146,1307,309,0
147,1308,309,0
148,1309,309,0
149,1310,309,0
150,1311,309,0
151,1312,309,0
152,1313,309,0
153,1314,309,0
154,1315,309,0
155,1316,309,0
156,1317,309,0
157,1318,309,0
158,1319,309,0
159,1320,309,0
160,1321,309,0
161,1322,309,1
162,1323,309,1
163,1324,309,1
164,1325,309,0
165,1326,309,0
166,1327,309,0
167,1328,309,0
168,1329,309,0
169,1330,309,0
170,1331,309,0
171,1332,309,0
172,1333,309,0
173,1334,309,0
174,1335,309,0
175,1336,309,0
176,1337,309,0
177,1338,309,0
178,1339,309,0
179,1340,309,0
180,1341,309,0
181,1342,309,0
182,1343,309,0
183,1344,309,0
184,1345,309,0
185,1346,309,0
186,1347,309,0
187,1348,309,0
188,1349,309,0
189,1350,309,0
190,1351,309,0
191,1352,309,0
192,1353,309,0
193,1354,309,0
194,1355,309,0
195,1356,309,0
196,1357,309,0
197,1358,309,0
198,1359,309,0
199,1360,309,0
200,1361,309,0
201,1362,309,0
202,1363,309,0
203,1364,309,0
204,1365,309,0
205,1366,309,0
206,1367,309,0
207,1368,309,0
208,1369,309,0
209,1370,309,0
210,1371,309,0
211,1372,309,0
212,1373,309,0
213,1374,309,0
214,1375,309,0
215,1376,309,0
216,1377,309,0
217,1378,309,0
218,1379,309,0
219,1380,309,0
220,1381,309,0
221,1382,309,2
222,1383,309,2
223,1384,309,1
224,1385,309,0
225,1386,309,0
226,1387,309,0
227,1388,309,0
228,1389,309,0
229,1390,309,0
230,1391,309,0
231,1392,309,0
232,1393,309,0
233,1278,310,0
234,1279,310,0
235,1280,310,0
236,1281,310,0
237,1282,310,0
238,1283,310,0
239,1284,310,0
240,1285,310,0
241,1286,310,0
242,1287,310,0
243,1288,310,0
244,1289,310,0
245,1290,310,0
246,1291,310,0
247,1292,310,0
248,1293,310,0
249,1294,310,0
250,1295,310,0
251,1296,310,0
252,1297,310,0
253,1298,310,0
254,1299,310,0
255,1300,310,0
256,1301,310,0
257,1302,310,0
258,1303,310,0
259,1304,310,0
260,1305,310,0
261,1306,310,0
262,1307,310,0
263,1308,310,0
264,1309,310,0
265,1310,310,0
266,1311,310,0
267,1312,310,0
268,1313,310,0
269,1314,310,0
270,1315,310,0
271,1316,310,0
272,1317,310,0
273,1318,310,0
274,1319,310,0
275,1320,310,0
276,1321,310,0
277,1322,310,1
278,1323,310,1
